# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
     11.29163822  0.455038550041259E+001
     11.34688354  0.458597765324445E+001
     11.40212887  0.446316678787268E+001
     11.45737420  0.425958885082993E+001
     11.51261952  0.413964174055264E+001
     11.56786485  0.420484886101240E+001
     11.62311017  0.440215116658854E+001
     11.67835550  0.456154348132229E+001
     11.73360083  0.453660955909716E+001
     11.78884615  0.432112958227154E+001
     11.84409148  0.402807478230662E+001
     11.89933680  0.377402273829400E+001
     11.95458213  0.362632162478301E+001
     12.00982746  0.364498644957005E+001
     12.06507278  0.388110663416313E+001
     12.12031811  0.429971779119464E+001
     12.17556343  0.475968019995043E+001
     12.23080876  0.508276260097408E+001
     12.28605409  0.513020994092227E+001
     12.34129941  0.486608686929788E+001
     12.39654474  0.438833530187014E+001
     12.45179007  0.388524372185703E+001
     12.50703539  0.354274571277484E+001
     12.56228072  0.344111930481820E+001
     12.61752604  0.350288201434068E+001
     12.67277137  0.358545424652601E+001
     12.72801670  0.363065643928397E+001
     12.78326202  0.365635971622402E+001
     12.83850735  0.362653807970165E+001
     12.89375267  0.344204806842126E+001
