# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.73000000  0.835016294832756E-009  0.398447788314808E-008 -0.159404482353887E-002  0.216967379575155E-008 -0.116703458240455E-008 -0.342497840008361E-001  0.999999331043529E+000  0.100000035982153E+001  0.115599351782366E+002  0.257453242507745E-006  0.122849908087402E-005 -0.491477844279634E+000
      0.74000000  0.853615002852469E-009  0.399252445727601E-008 -0.159748350726037E-002  0.212458885488188E-008 -0.115366185119676E-008 -0.348081641317804E-001  0.999999353796279E+000  0.100000035089169E+001  0.115870673020695E+002  0.259631029405660E-006  0.121434514541797E-005 -0.485882143662670E+000
      0.75000000  0.874720639704021E-009  0.399908170792820E-008 -0.159909585586977E-002  0.208190034595268E-008 -0.114077550685872E-008 -0.353673051112660E-001  0.999999375223121E+000  0.100000034234595E+001  0.116137042327305E+002  0.262503069625340E-006  0.120012170327764E-005 -0.479887579802634E+000
      0.76000000  0.898065497793264E-009  0.400423004167724E-008 -0.159898555758811E-002  0.204196945397093E-008 -0.112866875325355E-008 -0.359269597937559E-001  0.999999395269429E+000  0.100000033425598E+001  0.116397923250082E+002  0.265962676653652E-006  0.118585531059629E-005 -0.473540604634788E+000
      0.77000000  0.923321232878173E-009  0.400809766074748E-008 -0.159730065188919E-002  0.200510098054871E-008 -0.111761226563165E-008 -0.364869122473483E-001  0.999999413899894E+000  0.100000032668313E+001  0.116652898443425E+002  0.269890981766950E-006  0.117158511486293E-005 -0.466898221079080E+000
      0.78000000  0.950110952679305E-009  0.401085526046272E-008 -0.159422603423478E-002  0.197153533193675E-008 -0.110784772969239E-008 -0.370469834796304E-001  0.999999431099602E+000  0.100000031967726E+001  0.116901678555568E+002  0.274161203195648E-006  0.115736051768599E-005 -0.460025143883550E+000
      0.79000000  0.978022078900912E-009  0.401270999318776E-008 -0.158997542187201E-002  0.194144277248028E-008 -0.109958240841872E-008 -0.376070356995839E-001  0.999999446874376E+000  0.100000031327589E+001  0.117144106270059E+002  0.278642811396547E-006  0.114323880609871E-005 -0.452991022554118E+000
      0.80000000  0.100661960198347E-008  0.401389887432660E-008 -0.158478303022263E-002  0.191491997317358E-008 -0.109298480183466E-008 -0.381669750967203E-001  0.999999461250454E+000  0.100000030750375E+001  0.117380155872463E+002  0.283205492422034E-006  0.112928280454306E-005 -0.445867791141675E+000
      0.81000000  0.103545935763316E-008  0.401468180856450E-008 -0.157889520226115E-002  0.189198882591679E-008 -0.108818143729715E-008 -0.387267531573794E-001  0.999999474273555E+000  0.100000030237269E+001  0.117609928784369E+002  0.287722823757513E-006  0.111555859525809E-005 -0.438727201278245E+000
      0.82000000  0.106410097250700E-008  0.401533441311338E-008 -0.157256222054581E-002  0.187259743857943E-008 -0.108525480104686E-008 -0.392863665743706E-001  0.999999486007422E+000  0.100000029788192E+001  0.117833645563185E+002  0.292075590384625E-006  0.110213334975039E-005 -0.431638585857464E+000
      0.83000000  0.109212015253889E-008  0.401614080948591E-008 -0.156603051381107E-002  0.185662317523288E-008 -0.108424239607121E-008 -0.398458558390941E-001  0.999999496531910E+000  0.100000029401844E+001  0.118051634907471E+002  0.296154682870294E-006  0.108907330849147E-005 -0.424666891371556E+000
      0.84000000  0.111912002028375E-008  0.401738654659821E-008 -0.155953544792782E-002  0.184387756094928E-008 -0.108513688738387E-008 -0.404053026343200E-001  0.999999505940711E+000  0.100000029075790E+001  0.118264320234029E+002  0.299863533637783E-006  0.107644194011148E-005 -0.417871007374571E+000
      0.85000000  0.114474124622414E-008  0.401935180616622E-008 -0.155329486532914E-002  0.183411283221105E-008 -0.108788727404137E-008 -0.409648261703983E-001  0.999999514338811E+000  0.100000028806550E+001  0.118472204404765E+002  0.303120061914774E-006  0.106429830528165E-005 -0.411302412054677E+000
      0.86000000  0.116867076202367E-008  0.402230502684578E-008 -0.154750350848855E-002  0.182702988286971E-008 -0.109240100796826E-008 -0.415245786274472E-001  0.999999521839744E+000  0.100000028589721E+001  0.118675853179331E+002  0.305858111862238E-006  0.105269564433590E-005 -0.405004143670799E+000
      0.87000000  0.119064888996500E-008  0.402649706684426E-008 -0.154232843255751E-002  0.182228733217135E-008 -0.109854696324243E-008 -0.420847398807361E-001  0.999999528562767E+000  0.100000028420103E+001  0.118875877954542E+002  0.308028381779020E-006  0.104168020160373E-005 -0.399010098826384E+000
