# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
      5.05061574  0.259713736892751E+001
      5.10501512  0.239387418065851E+001
      5.15941449  0.227177955705112E+001
      5.21381387  0.214036091826664E+001
      5.26821324  0.197235336285191E+001
      5.32261262  0.179696250542405E+001
      5.37701199  0.163663753977892E+001
      5.43141137  0.149403892065006E+001
      5.48581074  0.137430449416643E+001
      5.54021012  0.127658630651457E+001
      5.59460949  0.117710400510556E+001
      5.64900887  0.105430048445145E+001
      5.70340824  0.918959946032245E+000
      5.75780762  0.793425819635538E+000
      5.81220699  0.675994153993027E+000
      5.86660637  0.548046109820646E+000
      5.92100574  0.404667590300779E+000
      5.97540512  0.262953993049998E+000
      6.02980449  0.146300363399290E+000
      6.08420387  0.678883947979479E-001
      6.13860324  0.256339642033761E-001
      6.19300262  0.792416440510220E-002
      6.24740200  0.333895936688840E-002
      6.30180137  0.744604887716163E-002
      6.35620075  0.250510434371989E-001
      6.41060012  0.679772794540189E-001
      6.46499950  0.147297898072012E+000
      6.51939887  0.266663534484628E+000
      6.57379825  0.426466524671548E+000
      6.62819762  0.624864460506359E+000
      6.68259700  0.838903215076558E+000
      6.73699637  0.102167678797761E+001
      6.79139575  0.114719592651005E+001
      6.84579512  0.124659809506360E+001
      6.90019450  0.137845438264245E+001
      6.95459387  0.156342469068574E+001
      7.00899325  0.175292829361335E+001
      7.06339262  0.187878004635815E+001
      7.11779200  0.193529801579670E+001
      7.17219137  0.197978517449723E+001
      7.22659075  0.206078102951897E+001
      7.28099012  0.219013146651253E+001
      7.33538950  0.236682925696213E+001
      7.38978887  0.258140391802365E+001
      7.44418825  0.280806579558871E+001
      7.49858762  0.301404352646873E+001
      7.55298700  0.316835350102069E+001
      7.60738637  0.326476390893248E+001
      7.66178575  0.336527039594115E+001
      7.71618512  0.356714926657733E+001
      7.77058450  0.388296188782513E+001
      7.82498388  0.422024862263743E+001
      7.87938325  0.451123424122846E+001
      7.93378263  0.478209079471597E+001
      7.98818200  0.508122135584668E+001
      8.04258138  0.541799789128067E+001
      8.09698075  0.575986744305541E+001
      8.15138013  0.602687987896294E+001
      8.20577950  0.613585346281719E+001
      8.26017888  0.610363496679457E+001
      8.31457825  0.604001107887135E+001
      8.36897763  0.599911911864586E+001
      8.42337700  0.591803948705852E+001
      8.47777638  0.572532726563774E+001
      8.53217575  0.542792194933649E+001
      8.58657513  0.508902373219391E+001
      8.64097450  0.478844198070070E+001
      8.69537388  0.458296838981646E+001
      8.74977325  0.445916172443711E+001
      8.80417263  0.436255945082152E+001
      8.85857200  0.429124514111169E+001
      8.91297138  0.430311142168037E+001
      8.96737075  0.443296047195026E+001
      9.02177013  0.468305060173186E+001
      9.07616950  0.510030780497647E+001
      9.13056888  0.576775172346329E+001
      9.18496825  0.666073562277780E+001
      9.23936763  0.755391994881691E+001
      9.29376701  0.813837318366764E+001
      9.34816638  0.824846846711938E+001
      9.40256576  0.796450969919669E+001
      9.45696513  0.751323788068188E+001
